algorithm,seed,final_cost,constraint_active
ACOR,0,3053.1696688896054,False
ACOR,1,3321.0356236585685,False
ACOR,2,3093.238800499721,False
ACOR,3,2921.459687443869,False
ACOR,4,3021.111217498092,False
ACOR,5,3770.151743335217,False
ACOR,6,3135.024203579625,False
ACOR,7,2760.206230382948,False
ACOR,8,2887.4215047340736,False
ACOR,9,2925.341833826496,False
ACOR,10,2963.5841897225782,False
ACOR,11,3001.3216880588866,False
ACOR,12,2704.692115921597,False
ACOR,13,2955.641959804089,False
ACOR,14,2982.2388336336617,False
ACOR,15,2850.565946613527,False
ACOR,16,2758.1005621971253,False
ACOR,17,3033.241450299883,False
ACOR,18,2820.615173048269,False
ACOR,19,2633.387805942844,False
ACOR,20,2706.424315255996,False
ACOR,21,2851.718236351791,False
ACOR,22,3050.3646366626604,False
ACOR,23,3214.8782095799165,False
ACOR,24,3364.64583033293,False
ACOR,25,2870.9440339548414,False
ACOR,26,2677.793396392791,False
ACOR,27,2928.334297556022,False
ACOR,28,2808.650137434014,False
ACOR,29,2940.5292647433075,False
GWO,0,2420.6584564985824,False
GWO,1,2457.7981830865383,False
GWO,2,2478.680947109425,False
GWO,3,2584.578747129355,False
GWO,4,2579.673215348695,False
GWO,5,2443.084326745582,False
GWO,6,2433.243832681633,False
GWO,7,2414.385580841564,False
GWO,8,2417.847900717355,False
GWO,9,2430.97558144479,False
GWO,10,2412.140882305993,False
GWO,11,2503.4315678312946,False
GWO,12,2418.583795153743,False
GWO,13,2451.355374466224,False
GWO,14,2444.2007863106546,False
GWO,15,2416.581070562174,False
GWO,16,2439.610267731825,False
GWO,17,2410.405977872073,False
GWO,18,2476.023553917382,False
GWO,19,2602.123171709088,False
GWO,20,2768.944105135506,False
GWO,21,2420.2464732261583,False
GWO,22,2734.07725686422,False
GWO,23,2460.847676179776,False
GWO,24,2482.045178745915,False
GWO,25,2573.686339836179,False
GWO,26,2430.921733718964,False
GWO,27,2434.990910401428,False
GWO,28,2434.033753280799,False
GWO,29,2449.85745196836,False
PSO,0,6624.582627534608,False
PSO,1,6563.218048763702,False
PSO,2,5427.179963378807,False
PSO,3,7025.0844800081495,False
PSO,4,6970.439866332058,False
PSO,5,6951.585832776588,True
PSO,6,3893.1647800050287,False
PSO,7,6277.348433956375,False
PSO,8,6087.58880789069,False
PSO,9,8610.599059667265,True
PSO,10,5883.5089320034,False
PSO,11,6364.572780320514,False
PSO,12,10897.20962577776,True
PSO,13,7310.869398598357,True
PSO,14,5711.726078753161,False
PSO,15,5998.471565926071,False
PSO,16,6492.780536729451,True
PSO,17,6840.783107710157,False
PSO,18,5490.543306521617,False
PSO,19,7526.954617827048,True
PSO,20,5470.377800556768,False
PSO,21,5428.953010030384,False
PSO,22,5076.352525346727,False
PSO,23,5510.166353796988,False
PSO,24,5202.435365415192,False
PSO,25,7984.278546321385,True
PSO,26,13087.84262336412,True
PSO,27,6013.223090453168,False
PSO,28,5781.231940370943,False
PSO,29,6272.211196218332,False
PSO_tuned,0,2423.683745653033,False
PSO_tuned,1,2422.3913395761774,False
PSO_tuned,2,2777.504529935741,False
PSO_tuned,3,2509.8908062179344,False
PSO_tuned,4,2415.5318493400528,False
PSO_tuned,5,2863.1502137329685,False
PSO_tuned,6,2460.7309774161913,False
PSO_tuned,7,2948.6386509691197,False
PSO_tuned,8,2916.2150111390874,False
PSO_tuned,9,2425.8112585821737,False
PSO_tuned,10,2378.9365637991227,False
PSO_tuned,11,2411.92762534496,False
PSO_tuned,12,2494.8711743832264,False
PSO_tuned,13,2424.121403073456,False
PSO_tuned,14,2423.3354896525243,False
PSO_tuned,15,3480.4464337513036,False
PSO_tuned,16,2419.519535109149,False
PSO_tuned,17,2465.1778070728515,False
PSO_tuned,18,3337.040892301727,False
PSO_tuned,19,2381.022976787803,False
PSO_tuned,20,3021.4937560847957,False
PSO_tuned,21,2412.173887695103,False
PSO_tuned,22,2454.935368546753,False
PSO_tuned,23,2520.245127628354,False
PSO_tuned,24,2450.309689333372,False
PSO_tuned,25,2826.3360764717663,False
PSO_tuned,26,2462.2369812721545,False
PSO_tuned,27,2424.074935830702,False
PSO_tuned,28,2386.622135449383,False
PSO_tuned,29,2767.0473097279073,False
